round,accuracy,macro_f1,eval_loss,round_time,client_train_time,communication_cost_MB,trainable_params,total_params,model_name,dataset_name,setting,num_clients,local_epochs,partition_type,best_metric_so_far,patience_counter,is_new_best,client_id,num_samples,train_loss
1,0.872,0.8716944480263078,0.3888807443878319,1516.9599113464355,235.8087604045868,4176.474685668945,109483778,109483778,bert-base-uncased,imdb,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.7752,0,True,0,4439,0.283499028115441
1,0.7712,0.760261961586925,0.7955616893647592,1516.9599113464355,172.55914855003357,4176.474685668945,109483778,109483778,bert-base-uncased,imdb,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.7752,0,True,1,3105,0.31721302719336664
1,0.5028,0.3345754591429332,2.569625982755347,1516.9599113464355,532.1556355953217,4176.474685668945,109483778,109483778,bert-base-uncased,imdb,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.7752,0,True,2,9593,0.10473922486514008
1,0.8644,0.8635870003481549,0.33923089004392865,1516.9599113464355,172.57027196884155,4176.474685668945,109483778,109483778,bert-base-uncased,imdb,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.7752,0,True,3,3107,0.3179244369000273
1,0.7892,0.7820437464256416,0.7223288226353971,1516.9599113464355,125.30386137962341,4176.474685668945,109483778,109483778,bert-base-uncased,imdb,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.7752,0,True,4,2256,0.28729417033292065
2,0.8184,0.8142880704546882,0.8026298312823984,1526.6918890476227,246.78556776046753,4176.474685668945,109483778,109483778,bert-base-uncased,imdb,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.884,0,True,0,4439,0.24034583926817554
2,0.8404,0.8382078851069994,0.5540177827771706,1526.6918890476227,172.27788591384888,4176.474685668945,109483778,109483778,bert-base-uncased,imdb,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.884,0,True,1,3105,0.2628810084631408
2,0.6024,0.5259428491197227,1.2588924026187462,1526.6918890476227,532.4824111461639,4176.474685668945,109483778,109483778,bert-base-uncased,imdb,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.884,0,True,2,9593,0.0832041138750598
2,0.8508,0.8492314035222455,0.5165830966603907,1526.6918890476227,172.6890161037445,4176.474685668945,109483778,109483778,bert-base-uncased,imdb,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.884,0,True,3,3107,0.24215926799640672
2,0.806,0.8005026510523999,0.5173138185769697,1526.6918890476227,125.25721573829651,4176.474685668945,109483778,109483778,bert-base-uncased,imdb,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.884,0,True,4,2256,0.22617637650283212
