round,accuracy,macro_f1,eval_loss,round_time,client_train_time,communication_cost_MB,trainable_params,total_params,model_name,dataset_name,setting,num_clients,local_epochs,partition_type,best_metric_so_far,patience_counter,is_new_best
1,0.8302752293577982,0.8294128532529674,0.4619617292640406,256.2495596408844,241.95770025253296,31.025466918945312,813314,67768324,distilbert-base-uncased,sst2,fedavg_distilbert_lora,5,1,dirichlet_noniid_alpha_0.5,0.8302752293577982,0,True
2,0.8497706422018348,0.8497546372959202,0.3322145780292126,148.92853903770447,140.27338099479675,31.025466918945312,813314,67768324,distilbert-base-uncased,sst2,fedavg_distilbert_lora,5,1,dirichlet_noniid_alpha_0.5,0.8497706422018348,0,True
3,0.8612385321100917,0.8612076846681531,0.3215148435273302,152.61083221435547,143.13883185386658,31.025466918945312,813314,67768324,distilbert-base-uncased,sst2,fedavg_distilbert_lora,5,1,dirichlet_noniid_alpha_0.5,0.8612385321100917,0,True
4,0.8669724770642202,0.8669612794612794,0.31022481469933044,150.73541402816772,141.746235370636,31.025466918945312,813314,67768324,distilbert-base-uncased,sst2,fedavg_distilbert_lora,5,1,dirichlet_noniid_alpha_0.5,0.8669724770642202,0,True
5,0.8715596330275229,0.8715427392921593,0.3002989833508063,146.42860889434814,137.19428968429565,31.025466918945312,813314,67768324,distilbert-base-uncased,sst2,fedavg_distilbert_lora,5,1,dirichlet_noniid_alpha_0.5,0.8715596330275229,0,True
6,0.8761467889908257,0.8761409249448937,0.2947560474960082,141.96906995773315,133.11062669754028,31.025466918945312,813314,67768324,distilbert-base-uncased,sst2,fedavg_distilbert_lora,5,1,dirichlet_noniid_alpha_0.5,0.8761467889908257,0,True
7,0.8772935779816514,0.8772856701322443,0.2904413968598077,138.060067653656,129.64683485031128,31.025466918945312,813314,67768324,distilbert-base-uncased,sst2,fedavg_distilbert_lora,5,1,dirichlet_noniid_alpha_0.5,0.8772935779816514,0,True
8,0.8738532110091743,0.8738525474105052,0.28928439305462966,137.57216262817383,129.15919017791748,31.025466918945312,813314,67768324,distilbert-base-uncased,sst2,fedavg_distilbert_lora,5,1,dirichlet_noniid_alpha_0.5,0.8772935779816514,1,False
9,0.8772935779816514,0.8772934166071572,0.2850219536265102,138.77918553352356,130.2424557209015,31.025466918945312,813314,67768324,distilbert-base-uncased,sst2,fedavg_distilbert_lora,5,1,dirichlet_noniid_alpha_0.5,0.8772935779816514,2,False
10,0.8795871559633027,0.8795869976051542,0.2817998271469676,145.25866889953613,136.69141793251038,31.025466918945312,813314,67768324,distilbert-base-uncased,sst2,fedavg_distilbert_lora,5,1,dirichlet_noniid_alpha_0.5,0.8795871559633027,0,True
11,0.8876146788990825,0.8876052188552188,0.27955631023153255,144.94392943382263,135.7998661994934,31.025466918945312,813314,67768324,distilbert-base-uncased,sst2,fedavg_distilbert_lora,5,1,dirichlet_noniid_alpha_0.5,0.8876146788990825,0,True
12,0.8910550458715596,0.891051463847998,0.2803502730820157,147.0073480606079,138.23211455345154,31.025466918945312,813314,67768324,distilbert-base-uncased,sst2,fedavg_distilbert_lora,5,1,dirichlet_noniid_alpha_0.5,0.8910550458715596,0,True
13,0.8899082568807339,0.8899059402815479,0.28228650754744855,142.4028182029724,133.8975818157196,31.025466918945312,813314,67768324,distilbert-base-uncased,sst2,fedavg_distilbert_lora,5,1,dirichlet_noniid_alpha_0.5,0.8910550458715596,1,False
14,0.8887614678899083,0.88873673894885,0.28047386085221526,145.71663570404053,137.35521507263184,31.025466918945312,813314,67768324,distilbert-base-uncased,sst2,fedavg_distilbert_lora,5,1,dirichlet_noniid_alpha_0.5,0.8910550458715596,2,False
15,0.8887614678899083,0.8887437636712558,0.28018777058758865,144.38150811195374,135.9284725189209,31.025466918945312,813314,67768324,distilbert-base-uncased,sst2,fedavg_distilbert_lora,5,1,dirichlet_noniid_alpha_0.5,0.8910550458715596,3,False
