epoch,train_loss,eval_loss,accuracy,macro_f1,time_per_epoch,trainable_params,total_params,model_name,dataset_name,setting,best_metric_so_far,patience_counter,is_new_best
1,0.690780585423885,0.675586115710343,0.7552,0.7549735563618474,130.84725856781006,739586,67694596,distilbert-base-uncased,imdb,centralized_distilbert_lora,0.7552,0,True
2,0.5799551782831709,0.3625849680621413,0.8444,0.8443987800864359,135.38351368904114,739586,67694596,distilbert-base-uncased,imdb,centralized_distilbert_lora,0.8444,0,True
3,0.35094300990589306,0.3239628990899913,0.8588,0.8587457357618503,135.74678087234497,739586,67694596,distilbert-base-uncased,imdb,centralized_distilbert_lora,0.8588,0,True
4,0.3234651423381759,0.30418516544601587,0.8692,0.8691681607636035,135.66079473495483,739586,67694596,distilbert-base-uncased,imdb,centralized_distilbert_lora,0.8692,0,True
5,0.30747608852115355,0.2900792759713493,0.8796,0.8795930452942962,135.66594982147217,739586,67694596,distilbert-base-uncased,imdb,centralized_distilbert_lora,0.8796,0,True
6,0.29267322352022335,0.2792020446703404,0.8876,0.8875978238938707,136.0198278427124,739586,67694596,distilbert-base-uncased,imdb,centralized_distilbert_lora,0.8876,0,True
7,0.28065425301580965,0.27377423064052303,0.8844,0.8843480213747267,136.25135898590088,739586,67694596,distilbert-base-uncased,imdb,centralized_distilbert_lora,0.8876,1,False
8,0.2731591198744296,0.2691039658988578,0.8928,0.8927571028411365,135.83186769485474,739586,67694596,distilbert-base-uncased,imdb,centralized_distilbert_lora,0.8928,0,True
9,0.2641602606322635,0.2606724277374488,0.892,0.8919723449202996,135.59839010238647,739586,67694596,distilbert-base-uncased,imdb,centralized_distilbert_lora,0.8928,1,False
10,0.2558530103296105,0.260853953376601,0.8972,0.8971304601910892,136.26405358314514,739586,67694596,distilbert-base-uncased,imdb,centralized_distilbert_lora,0.8972,0,True
11,0.25051482613830595,0.2525607170655003,0.898,0.8979963278678033,136.24453210830688,739586,67694596,distilbert-base-uncased,imdb,centralized_distilbert_lora,0.898,0,True
12,0.24371887051898194,0.25281538215430477,0.9028,0.902798740271674,135.6752414703369,739586,67694596,distilbert-base-uncased,imdb,centralized_distilbert_lora,0.9028,0,True
13,0.23748106031275507,0.24767941722198378,0.8984,0.8983655906543719,135.92045950889587,739586,67694596,distilbert-base-uncased,imdb,centralized_distilbert_lora,0.9028,1,False
14,0.23287205222276566,0.24806270481947856,0.9032,0.9031997521913656,135.82394003868103,739586,67694596,distilbert-base-uncased,imdb,centralized_distilbert_lora,0.9032,0,True
15,0.22727402692029217,0.2422123961622202,0.906,0.9059890345609912,135.76986360549927,739586,67694596,distilbert-base-uncased,imdb,centralized_distilbert_lora,0.906,0,True
16,0.21967714318546236,0.24912608223908309,0.9068,0.9067611977400516,135.7856240272522,739586,67694596,distilbert-base-uncased,imdb,centralized_distilbert_lora,0.9068,0,True
17,0.21551396035309286,0.24429677046033776,0.9044,0.9043944778250392,135.9412989616394,739586,67694596,distilbert-base-uncased,imdb,centralized_distilbert_lora,0.9068,1,False
18,0.21078600012713827,0.2618373138240621,0.898,0.8978197540461373,135.84587788581848,739586,67694596,distilbert-base-uncased,imdb,centralized_distilbert_lora,0.9068,2,False
19,0.2039463754899551,0.25214637052032013,0.8964,0.8962856819300506,136.09073185920715,739586,67694596,distilbert-base-uncased,imdb,centralized_distilbert_lora,0.9068,3,False
