round,accuracy,macro_f1,eval_loss,round_time,client_train_time,communication_cost_MB,trainable_params,total_params,model_name,dataset_name,setting,num_clients,local_epochs,partition_type,best_metric_so_far,patience_counter,is_new_best
1,0.8204,0.8161294671325485,0.4274728520761562,495.8644800186157,372.85305285453796,33.83796691894531,887042,67842052,distilbert-base-uncased,imdb,FedAvg + DistilBERT + LoRA,5,1,noniid,0.8204,0,True
2,0.8788,0.8783201139983914,0.31622429333532914,514.556928396225,387.6486904621124,33.83796691894531,887042,67842052,distilbert-base-uncased,imdb,FedAvg + DistilBERT + LoRA,5,1,noniid,0.8788,0,True
3,0.8736,0.8725953583424881,0.308984161837946,515.5518662929535,388.3680455684662,33.83796691894531,887042,67842052,distilbert-base-uncased,imdb,FedAvg + DistilBERT + LoRA,5,1,noniid,0.8788,1,False
4,0.8756,0.8746380021151108,0.31869099317472194,520.3849515914917,392.1799228191376,33.83796691894531,887042,67842052,distilbert-base-uncased,imdb,FedAvg + DistilBERT + LoRA,5,1,noniid,0.8788,2,False
5,0.8892,0.8889731677406207,0.29266140958930875,522.5675711631775,393.997371673584,33.83796691894531,887042,67842052,distilbert-base-uncased,imdb,FedAvg + DistilBERT + LoRA,5,1,noniid,0.8892,0,True
6,0.89,0.8898341519256749,0.32058064007683645,523.104115486145,394.29429173469543,33.83796691894531,887042,67842052,distilbert-base-uncased,imdb,FedAvg + DistilBERT + LoRA,5,1,noniid,0.89,0,True
7,0.892,0.8919052917404113,0.3238554945852183,519.3186926841736,391.69496297836304,33.83796691894531,887042,67842052,distilbert-base-uncased,imdb,FedAvg + DistilBERT + LoRA,5,1,noniid,0.892,0,True
8,0.8796,0.8789513925093996,0.33421282192008406,517.7180328369141,389.91934609413147,33.83796691894531,887042,67842052,distilbert-base-uncased,imdb,FedAvg + DistilBERT + LoRA,5,1,noniid,0.892,1,False
9,0.8868,0.8864590319312509,0.3099882222146173,517.9378044605255,390.46983456611633,33.83796691894531,887042,67842052,distilbert-base-uncased,imdb,FedAvg + DistilBERT + LoRA,5,1,noniid,0.892,2,False
10,0.8832,0.8826701572027023,0.3935502238005777,520.3803744316101,391.8949658870697,33.83796691894531,887042,67842052,distilbert-base-uncased,imdb,FedAvg + DistilBERT + LoRA,5,1,noniid,0.892,3,False
