round,accuracy,macro_f1,eval_loss,round_time,client_train_time,communication_cost_MB,trainable_params,total_params,model_name,dataset_name,setting,num_clients,local_epochs,partition_type,best_metric_so_far,patience_counter,is_new_best
1,0.67225,0.587560402792174,1.0755432184706344,223.65217328071594,163.27593207359314,2.332916259765625,61156,14412656,huawei-noah/TinyBERT_General_4L_312D,ag_news,FedAvg + TinyBERT + LoRA,5,1,noniid,0.67225,0,True
2,0.7053333333333334,0.6185846757461098,0.8852025508246524,219.2851414680481,156.9696683883667,2.332916259765625,61156,14412656,huawei-noah/TinyBERT_General_4L_312D,ag_news,FedAvg + TinyBERT + LoRA,5,1,noniid,0.7053333333333334,0,True
3,0.7101666666666666,0.6254556821841137,0.9126208833557494,223.09654474258423,160.23288083076477,2.332916259765625,61156,14412656,huawei-noah/TinyBERT_General_4L_312D,ag_news,FedAvg + TinyBERT + LoRA,5,1,noniid,0.7101666666666666,0,True
4,0.7140833333333333,0.6271034311116988,0.9309370129349384,225.8327920436859,162.2203552722931,2.332916259765625,61156,14412656,huawei-noah/TinyBERT_General_4L_312D,ag_news,FedAvg + TinyBERT + LoRA,5,1,noniid,0.7140833333333333,0,True
5,0.7535,0.708035695753114,0.6319639099405167,225.5600094795227,162.07298755645752,2.332916259765625,61156,14412656,huawei-noah/TinyBERT_General_4L_312D,ag_news,FedAvg + TinyBERT + LoRA,5,1,noniid,0.7535,0,True
6,0.8006666666666666,0.777449547991511,0.6227509327074314,227.35731744766235,162.86323308944702,2.332916259765625,61156,14412656,huawei-noah/TinyBERT_General_4L_312D,ag_news,FedAvg + TinyBERT + LoRA,5,1,noniid,0.8006666666666666,0,True
7,0.7766666666666666,0.7428491707315326,0.6976758190926086,226.5886378288269,162.4708960056305,2.332916259765625,61156,14412656,huawei-noah/TinyBERT_General_4L_312D,ag_news,FedAvg + TinyBERT + LoRA,5,1,noniid,0.8006666666666666,1,False
8,0.8480833333333333,0.8401481978804681,0.4720911759328335,226.66083002090454,162.62767267227173,2.332916259765625,61156,14412656,huawei-noah/TinyBERT_General_4L_312D,ag_news,FedAvg + TinyBERT + LoRA,5,1,noniid,0.8480833333333333,0,True
9,0.8164166666666667,0.7986885505785143,0.5880527423417314,225.86871004104614,162.07650446891785,2.332916259765625,61156,14412656,huawei-noah/TinyBERT_General_4L_312D,ag_news,FedAvg + TinyBERT + LoRA,5,1,noniid,0.8480833333333333,1,False
10,0.8539166666666667,0.8462761974191261,0.4765973374881643,228.52050113677979,164.50135469436646,2.332916259765625,61156,14412656,huawei-noah/TinyBERT_General_4L_312D,ag_news,FedAvg + TinyBERT + LoRA,5,1,noniid,0.8539166666666667,0,True
11,0.8658333333333333,0.8604901039929583,0.41535318064245774,229.40114855766296,165.41231536865234,2.332916259765625,61156,14412656,huawei-noah/TinyBERT_General_4L_312D,ag_news,FedAvg + TinyBERT + LoRA,5,1,noniid,0.8658333333333333,0,True
12,0.841,0.8304395216685487,0.5152467467445643,226.31471300125122,162.6171019077301,2.332916259765625,61156,14412656,huawei-noah/TinyBERT_General_4L_312D,ag_news,FedAvg + TinyBERT + LoRA,5,1,noniid,0.8658333333333333,1,False
13,0.8404166666666667,0.8298597326636366,0.4883072499899154,227.95406436920166,165.22295212745667,2.332916259765625,61156,14412656,huawei-noah/TinyBERT_General_4L_312D,ag_news,FedAvg + TinyBERT + LoRA,5,1,noniid,0.8658333333333333,2,False
14,0.8710833333333333,0.8664844504953653,0.40433277165953146,231.93116927146912,168.416330575943,2.332916259765625,61156,14412656,huawei-noah/TinyBERT_General_4L_312D,ag_news,FedAvg + TinyBERT + LoRA,5,1,noniid,0.8710833333333333,0,True
15,0.8245833333333333,0.8094758687892293,0.544093270805922,229.83829259872437,166.95423221588135,2.332916259765625,61156,14412656,huawei-noah/TinyBERT_General_4L_312D,ag_news,FedAvg + TinyBERT + LoRA,5,1,noniid,0.8710833333333333,1,False
16,0.859,0.8517101421087877,0.4664064030698005,229.14939427375793,165.31279611587524,2.332916259765625,61156,14412656,huawei-noah/TinyBERT_General_4L_312D,ag_news,FedAvg + TinyBERT + LoRA,5,1,noniid,0.8710833333333333,2,False
17,0.8411666666666666,0.8305456320365374,0.514581210594228,228.96755528450012,164.14348244667053,2.332916259765625,61156,14412656,huawei-noah/TinyBERT_General_4L_312D,ag_news,FedAvg + TinyBERT + LoRA,5,1,noniid,0.8710833333333333,3,False
