epoch,train_loss,eval_loss,accuracy,macro_f1,time_per_epoch,trainable_params,total_params,model_name,dataset_name,setting,best_metric_so_far,monitor_metric,patience_counter,is_new_best
1,1.1000898878309462,0.6129256044613555,0.8370833333333333,0.8363710240841122,141.35526371002197,14351500,14351500,huawei-noah/TinyBERT_General_4L_312D,ag_news,centralized_full_finetuning,0.8370833333333333,accuracy,0,True
2,0.4908385798136393,0.4086528312652669,0.8593333333333333,0.859470170659982,136.84556221961975,14351500,14351500,huawei-noah/TinyBERT_General_4L_312D,ag_news,centralized_full_finetuning,0.8593333333333333,accuracy,0,True
3,0.39086824099222817,0.35925434109695414,0.8741666666666666,0.8736288624936602,136.43662929534912,14351500,14351500,huawei-noah/TinyBERT_General_4L_312D,ag_news,centralized_full_finetuning,0.8741666666666666,accuracy,0,True
4,0.3374639580691302,0.33110783903047125,0.8856666666666667,0.8848965444049732,137.3536341190338,14351500,14351500,huawei-noah/TinyBERT_General_4L_312D,ag_news,centralized_full_finetuning,0.8856666666666667,accuracy,0,True
5,0.29530835651468346,0.29652688953470674,0.8945833333333333,0.8943766331581544,137.34664630889893,14351500,14351500,huawei-noah/TinyBERT_General_4L_312D,ag_news,centralized_full_finetuning,0.8945833333333333,accuracy,0,True
6,0.2629472771397343,0.28641722723841667,0.9013333333333333,0.9006351937079934,138.7846748828888,14351500,14351500,huawei-noah/TinyBERT_General_4L_312D,ag_news,centralized_full_finetuning,0.9013333333333333,accuracy,0,True
7,0.2357805869932528,0.27090216035697057,0.90675,0.9064199793645589,138.721515417099,14351500,14351500,huawei-noah/TinyBERT_General_4L_312D,ag_news,centralized_full_finetuning,0.90675,accuracy,0,True
8,0.2087535106341044,0.2704789877889004,0.9058333333333334,0.9053209958375696,138.57365226745605,14351500,14351500,huawei-noah/TinyBERT_General_4L_312D,ag_news,centralized_full_finetuning,0.90675,accuracy,1,False
9,0.18845539715113463,0.2727601819850029,0.9051666666666667,0.9046924822616936,137.52556777000427,14351500,14351500,huawei-noah/TinyBERT_General_4L_312D,ag_news,centralized_full_finetuning,0.90675,accuracy,2,False
10,0.16725005137037346,0.32945740710389104,0.8966666666666666,0.8954068446792198,142.2210590839386,14351500,14351500,huawei-noah/TinyBERT_General_4L_312D,ag_news,centralized_full_finetuning,0.90675,accuracy,3,False
