epoch,train_loss,eval_loss,accuracy,macro_f1,time_per_epoch,trainable_params,total_params,model_name,dataset_name,setting,best_metric_so_far,patience_counter,is_new_best
1,0.4792679675292969,0.38019492918014525,0.83556,0.835195947848798,125.16894555091858,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,imdb,centralized_tinybert_lora,0.83556,0,True
2,0.3763292425537109,0.35161224912643435,0.84624,0.8462251106540741,119.4841730594635,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,imdb,centralized_tinybert_lora,0.84624,0,True
3,0.3518000335693359,0.3320210125637054,0.85288,0.8528702032742072,120.93912076950073,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,imdb,centralized_tinybert_lora,0.85288,0,True
4,0.33839589416503907,0.32249220244407656,0.86076,0.8607579037937869,120.67141485214233,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,imdb,centralized_tinybert_lora,0.86076,0,True
5,0.3255864465332031,0.3542071765136719,0.85328,0.8527778901610676,119.66445326805115,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,imdb,centralized_tinybert_lora,0.86076,1,False
6,0.3150127163696289,0.32463707824707033,0.86188,0.8616546451564728,119.37412977218628,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,imdb,centralized_tinybert_lora,0.86188,0,True
7,0.3081198477172852,0.3153580661201477,0.8674,0.8673105777322423,119.57574033737183,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,imdb,centralized_tinybert_lora,0.8674,0,True
8,0.29820790954589843,0.3114279081916809,0.87412,0.8740862992483593,119.54522585868835,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,imdb,centralized_tinybert_lora,0.87412,0,True
9,0.29143853424072264,0.3289896618461609,0.87,0.8699926480322433,118.95811915397644,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,imdb,centralized_tinybert_lora,0.87412,1,False
10,0.28476583068847655,0.30985742277145384,0.87548,0.8754446779042503,119.18794536590576,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,imdb,centralized_tinybert_lora,0.87548,0,True
11,0.28075303665161133,0.31334536452770234,0.87268,0.8724884345808359,119.90076088905334,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,imdb,centralized_tinybert_lora,0.87548,1,False
12,0.2764076695251465,0.31162096923828125,0.8776,0.8775929297676234,119.43496513366699,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,imdb,centralized_tinybert_lora,0.8776,0,True
13,0.2675028702545166,0.31009279525756833,0.87668,0.8766405626787013,119.37084746360779,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,imdb,centralized_tinybert_lora,0.8776,1,False
14,0.26424503829956053,0.3187630803108215,0.87532,0.8752516928169188,119.61654114723206,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,imdb,centralized_tinybert_lora,0.8776,2,False
15,0.26266666580200193,0.3030416893863678,0.87976,0.879737493785957,119.49787712097168,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,imdb,centralized_tinybert_lora,0.87976,0,True
16,0.25589657112121583,0.3348623968315125,0.87864,0.8786023958781473,119.63422060012817,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,imdb,centralized_tinybert_lora,0.87976,1,False
17,0.2544925507354736,0.31332804314613344,0.88124,0.8812186716246769,119.23115634918213,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,imdb,centralized_tinybert_lora,0.88124,0,True
18,0.2493358373260498,0.3180854364728928,0.88088,0.8808729736020782,119.152108669281,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,imdb,centralized_tinybert_lora,0.88124,1,False
19,0.24479516876220703,0.31661307349205015,0.87712,0.8770972679106728,119.5684564113617,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,imdb,centralized_tinybert_lora,0.88124,2,False
20,0.24221313117980958,0.32980482277870177,0.87772,0.8776344574796744,119.71875,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,imdb,centralized_tinybert_lora,0.88124,3,False
