round,accuracy,macro_f1,eval_loss,round_time,client_train_time,communication_cost_MB,trainable_params,total_params,model_name,dataset_name,setting,num_clients,local_epochs,partition_type,best_metric_so_far,patience_counter,is_new_best
1,0.5028,0.3345754591429332,0.6920496672391891,120.97008109092712,91.61556363105774,2.3090362548828125,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,imdb,FedAvg + TinyBERT + LoRA,5,1,noniid,0.5028,0,True
2,0.4996,0.3373703422855607,0.7028908729553223,120.0034863948822,89.90653967857361,2.3090362548828125,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,imdb,FedAvg + TinyBERT + LoRA,5,1,noniid,0.5028,1,False
3,0.5796,0.5795175854467476,0.6776447370648384,120.39910173416138,90.19236040115356,2.3090362548828125,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,imdb,FedAvg + TinyBERT + LoRA,5,1,noniid,0.5796,0,True
4,0.57,0.48790005485900434,0.6456875585019588,120.35061478614807,90.30748915672302,2.3090362548828125,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,imdb,FedAvg + TinyBERT + LoRA,5,1,noniid,0.5796,1,False
5,0.738,0.7282730896104739,0.5645242914557457,120.70319318771362,90.39286518096924,2.3090362548828125,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,imdb,FedAvg + TinyBERT + LoRA,5,1,noniid,0.738,0,True
6,0.8024,0.802044122842281,0.46077667400240896,121.68894815444946,91.09800624847412,2.3090362548828125,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,imdb,FedAvg + TinyBERT + LoRA,5,1,noniid,0.8024,0,True
7,0.8012,0.7999065640148422,0.4703283280134201,120.96085095405579,90.4408311843872,2.3090362548828125,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,imdb,FedAvg + TinyBERT + LoRA,5,1,noniid,0.8024,1,False
8,0.8168,0.8162721572569128,0.4277981474995613,121.23238039016724,90.80580258369446,2.3090362548828125,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,imdb,FedAvg + TinyBERT + LoRA,5,1,noniid,0.8168,0,True
9,0.8176,0.8166281585799684,0.44661014936864374,121.06872963905334,90.81178116798401,2.3090362548828125,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,imdb,FedAvg + TinyBERT + LoRA,5,1,noniid,0.8176,0,True
10,0.828,0.8278408974437816,0.4181139670312405,120.66179490089417,90.42834687232971,2.3090362548828125,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,imdb,FedAvg + TinyBERT + LoRA,5,1,noniid,0.828,0,True
11,0.8208,0.819947733399181,0.4182955361902714,120.76534104347229,90.22591876983643,2.3090362548828125,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,imdb,FedAvg + TinyBERT + LoRA,5,1,noniid,0.828,1,False
12,0.836,0.8359659859068376,0.39608454890549183,120.4958872795105,90.50659108161926,2.3090362548828125,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,imdb,FedAvg + TinyBERT + LoRA,5,1,noniid,0.836,0,True
13,0.8288,0.8281134438419312,0.39669311679899694,121.27181100845337,90.67702341079712,2.3090362548828125,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,imdb,FedAvg + TinyBERT + LoRA,5,1,noniid,0.836,1,False
14,0.8276,0.826691558744967,0.4185731362551451,122.21280002593994,90.88701486587524,2.3090362548828125,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,imdb,FedAvg + TinyBERT + LoRA,5,1,noniid,0.836,2,False
15,0.8284,0.8277378241962102,0.4000266769900918,121.22911930084229,91.06762838363647,2.3090362548828125,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,imdb,FedAvg + TinyBERT + LoRA,5,1,noniid,0.836,3,False
