round,accuracy,macro_f1,eval_loss,round_time,client_train_time,communication_cost_MB,trainable_params,total_params,model_name,dataset_name,setting,num_clients,local_epochs,partition_type,best_metric_so_far,patience_counter,is_new_best
1,0.7545871559633027,0.7409603766879886,0.522846886871058,116.82356786727905,110.05183672904968,2.3090362548828125,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,sst2,fedavg_tinybert_lora,5,1,dirichlet_noniid_alpha_0.5,0.7545871559633027,0,True
2,0.8314220183486238,0.8312086939689738,0.38344076904681845,117.18278741836548,110.41614174842834,2.3090362548828125,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,sst2,fedavg_tinybert_lora,5,1,dirichlet_noniid_alpha_0.5,0.8314220183486238,0,True
3,0.8463302752293578,0.8463270416429939,0.35564883695829896,115.55236625671387,108.70523381233215,2.3090362548828125,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,sst2,fedavg_tinybert_lora,5,1,dirichlet_noniid_alpha_0.5,0.8463302752293578,0,True
4,0.8623853211009175,0.8623672206701706,0.343556255922405,116.8089554309845,109.94463467597961,2.3090362548828125,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,sst2,fedavg_tinybert_lora,5,1,dirichlet_noniid_alpha_0.5,0.8623853211009175,0,True
5,0.8646788990825688,0.8646760515960692,0.33975716577757387,116.10054278373718,109.44426393508911,2.3090362548828125,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,sst2,fedavg_tinybert_lora,5,1,dirichlet_noniid_alpha_0.5,0.8646788990825688,0,True
6,0.8704128440366973,0.8703990382781601,0.3275771764440274,115.77759790420532,109.44495940208435,2.3090362548828125,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,sst2,fedavg_tinybert_lora,5,1,dirichlet_noniid_alpha_0.5,0.8704128440366973,0,True
7,0.8669724770642202,0.8669549799811649,0.32556507565559595,116.4939272403717,109.50849151611328,2.3090362548828125,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,sst2,fedavg_tinybert_lora,5,1,dirichlet_noniid_alpha_0.5,0.8704128440366973,1,False
8,0.8692660550458715,0.869263304084338,0.32351425481498786,114.96844434738159,108.5505051612854,2.3090362548828125,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,sst2,fedavg_tinybert_lora,5,1,dirichlet_noniid_alpha_0.5,0.8704128440366973,2,False
9,0.875,0.8749406267968206,0.32252271678469596,117.5325653553009,111.02300429344177,2.3090362548828125,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,sst2,fedavg_tinybert_lora,5,1,dirichlet_noniid_alpha_0.5,0.875,0,True
10,0.8692660550458715,0.8692488596366621,0.32530652383051883,116.24262261390686,109.4792230129242,2.3090362548828125,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,sst2,fedavg_tinybert_lora,5,1,dirichlet_noniid_alpha_0.5,0.875,1,False
11,0.8738532110091743,0.8737994368865616,0.3208395833269172,114.6899139881134,107.78232312202454,2.3090362548828125,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,sst2,fedavg_tinybert_lora,5,1,dirichlet_noniid_alpha_0.5,0.875,2,False
12,0.8727064220183486,0.8726459593985971,0.3191316138713732,114.51796174049377,108.1960928440094,2.3090362548828125,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,sst2,fedavg_tinybert_lora,5,1,dirichlet_noniid_alpha_0.5,0.875,3,False
